cislo,spol,ico,sektor,nace,druh,zeme,inv_eur,inv_usd,inv_czk,nova_mista,pod_dane,pob_mista,pob_rekv,pob_pozem,pob_kap,mira_podpory,strop,okres,kraj,region_nuts,podani,rozh_den,rozh_mesic,rozh_rok,msp,zruseno
357,SUNGWOO HITECH s.r.o.,26869918,výroba dopravních prostředků,,výroba,Korea,77.65157253416763,104.86968510941112,2357.89,1041.0,T,J,R,,,0.5,959.04,Ostrava-město,Moravskoslezský,,2005,,2006-11-03 00:00:00,2006,False,False
358,SCHNEEBERGER s.r.o.,27365450,strojírenský,,výroba,Švýcarsko,16.469619627861025,22.242483543853407,500.1,60.0,T,,,,,0.49,227.21,Cheb,Karlovarský,,2005,,2006-11-03 00:00:00,2006,False,False
359,"MAIER CZ, s.r.o.",27254500,výroba dopravních prostředků,,výroba,Španělsko,7.7724221036322945,9.192149517488497,225.75,158.0,T,,R,,,0.49,107.45,Prostějov,Olomoucký,,2006,,listopad,2006,False,False
360,Faurecia Exhaust Systems s.r.o.,25639587,výroba dopravních prostředků,,výroba,Francie,7.245183599538943,9.784735812133071,220,100.0,T,,,,,0.5,110.0,Mladá Boleslav,Středočeský,,2005,,2006-11-03 00:00:00,2006,False,False
361,DGS Druckguss Systeme s.r.o.,26187329,ostatní,,výroba,Česká republika,6.481481481481482,8.161361781508685,210,30.0,T,J,R,,,0.48,100.32,Liberec,Liberecký,,2004,,2006-11-03 00:00:00,2006,False,False
362,"Briggs & Stratton (Czech) Power Products, s.r.o.",27765431,strojírenský,,výroba,USA,43.27767257703563,51.182865751862856,1257,130.0,T,J,R,,,0.5,623.38,Ostrava-město,Moravskoslezský,,2006,,prosinec,2006,False,False
363,"Nippon Kayaku CZ, s.r.o.",26881845,výroba dopravních prostředků,,výroba,Japonsko,13.589258047856772,16.071501282625512,394.7,38.0,T,,R,,,0.49,189.21,Vsetín,Zlínský,,2006,,prosinec,2006,False,False
364,MANN + HUMMEL (CZ) s.r.o.,47901977,výroba dopravních prostředků,,výroba,Německo,20.88999827853331,24.70581049717008,606.75,180.0,T,J,R,,,0.48,289.18,Třebíč,Vysočina,,2006,,prosinec,2006,False,False
365,ŠKODA TRANSPORTATION s.r.o.,62623753,výroba dopravních prostředků,,výroba,Česká republika,27.62954036839387,32.67641190602223,802.5,80.0,T,,,,,0.46,369.15,Plzeň-město,Plzeňský,,2006,,prosinec,2006,False,False
366,VÍTKOVICE HEAVY MACHINERY a.s.,25877950,kovodělný a kovozpracující,,výroba,Česká republika,32.019280426923736,37.867991367726695,930,9.0,T,,,,,0.5,457.375,Ostrava-město,Moravskoslezský,,2006,,prosinec,2006,False,False
